Rótulos de Linha,Aguardando Match,Aguardando Categorização,Aguardando Moderação,Publicado
Época Cosméticos,2483,641,7,10089
Lojas Rede,54,93,334,7188
Duda Makeup,,7,40,2511
Kassio Perfumaria,16,,15,4695
Bisturi,4,4,30,4172
Starhouse Megastore,33,874,418,325
Amobeleza,3,9,16,2881
 DAHLIA PERFUMARIA,7,231,440,1255
Dermadoctor,,83,247,1210
Sense,,15,28,755
Kiss New York,29,6,102,876
Miligrama,,,,922
Aaz Perfumes,1,,,885
OCEANE,97,4,,754
Mundo Verde,3,7,55,555
50 Mais Saúde,,,,607
Dermiwil,,,,241
Black Skull,,3,,276
Dux Nutrition Lab,,,5,364
Aroom Aromaterapia,,,,178
Sigvaris,,,,309
Super Saudável Shopping,,,24,249
Use Orgânico ,,1,,183
Herbia,,1,,23
Forever Liss,,2,13,208
Boutique Saúde,,,,183
Integralmédica,,,4,200
S. Fioretti,,,,166
Reabilit Mais,,2,61,109
Chicco,1,1,,118
Adcos,40,2,18,85
Planeta Do Bebê,,,6,95
Sanavita,,,,113
Central Nutrition,,,,127
Alur Medtech,,1,27,92
Prime,8,3,,97
ATLHETICA NUTRITION,,,,121
Nutramed,2,,11,66
Embryolisse,,1,,17
Supérbia,,2,,67
Dellamed,,,14,84
Principia,,,,69
Ada Tina,,4,,89
Beautylist Brasil,,1,,48
Phderma,,,2,31
Vitamine-se,,2,3,43
Easy Do Brasil,,,,52
Viking Brand,,5,,24
Nutraceutica Praiamar,,,,40
Biokkinder,,,,11
Laboratório Saúde,,,,26
Mercur,,,,31
Arcoweb,,,,33
Fraldas Do Sul,,,,32
D3 Tape,,,,25
Better ME,,,,25
Hela Beauty,,,,11
Farmácia Flor Essência,,,,20
Lavoê Brasil,,,2,12
TriFibra & Amusant,,,,20
E Se Cosméticos,,,,6
Liffe Nutricosméticos,,,,9
Volcanic,,3,,2
Hf Pharma,,,,8
Harmolab,,,,6
Chameleon Sun,,,,1
Rent Co,,,,5
Bora Pro Rolê,,,,3
Espartano,,,,4
Johnbaby,,,,3
Clinica A Sua Essencia,,,,2
Cirúrgica Florianópolis,,,,1
Total Geral,2781,2008,1922,44143
