Sellers,Nota Total.,Nota Pedidos.,Nota Atendimentos.,Soma de Novo,Soma de Pago,Soma de Atraso no faturamento,Soma de Faturado,Soma de Atraso na expedição,Soma de Enviado,Soma de Enviado com atraso,Soma de Atrasado,Soma de Entregue,Soma de Entregue com atraso,Soma de Devolvido,Soma de Cancelado,Soma de Total Pedidos Aprovados,Total Atendimentos,Atendimentos atrasados,Soma de Não aprovado
Prime,5,5,5,0,0,0,0,0,6,0,0,10,0,0,0,16,2,0,2
Nutraceutica Praiamar,5,5,5,0,0,0,0,0,4,0,0,9,0,0,0,13,1,0,4
Sense,4.90277777777778,4.86111111111111,5,0,0,0,7,0,14,1,0,56,0,0,1,72,5,0,58
OCEANE,4.65238095238095,4.93197278911565,4,0,3,0,0,0,27,0,2,115,0,0,0,147,5,1,22
Integralmédica,4.56553911205074,4.47674418604651,4.77272727272727,0,3,0,0,0,16,0,0,58,6,0,3,86,22,1,77
Vitamine-se,4.5531914893617,4.36170212765957,5,0,0,1,0,0,12,0,0,29,1,0,4,47,11,0,11
Dermadoctor,4.54347826086956,4.34782608695652,5,0,1,0,0,0,3,0,0,16,1,0,2,23,2,0,2
Dux Nutrition Lab,4.52542372881356,4.32203389830508,5,0,0,7,11,1,8,4,0,94,0,0,4,118,9,0,39
Multilaser,4.52203389830508,4.74576271186441,4,0,0,0,0,0,5,0,0,51,3,0,0,59,10,2,26
Época Cosméticos,4.50941837409121,4.80337078651685,3.82352941176471,0,3,1,0,0,72,1,4,267,3,1,4,356,34,8,359
Bisturi,4.44360902255639,4.51127819548872,4.28571428571429,0,0,0,0,0,23,0,2,97,8,2,1,133,14,2,54
Mundo Verde,4.32051282051282,4.74358974358974,3.33333333333333,0,0,0,0,0,11,0,1,63,0,2,1,78,6,2,25
ATLHETICA NUTRITION,4.3,4,5,0,1,0,0,0,4,0,0,3,2,0,0,10,1,0,11
Lojas Rede,4.27769466540174,4.02849740932642,4.85915492957746,0,1,0,11,0,63,0,5,247,57,7,6,386,71,2,116
Amobeleza,4.22791201602682,3.97849462365591,4.80988593155894,1,0,0,0,0,84,0,1,581,10,23,137,837,263,10,261
Black Skull,4.18859649122807,4.91228070175439,2.5,0,0,0,0,0,13,0,0,43,1,0,0,57,2,1,34
Miligrama,4.13871504092769,3.99727148703956,4.46875,1,1,1,2,1,268,18,24,902,240,7,3,1466,160,17,402
Central Nutrition,4.125,3.75,5,0,0,0,0,0,1,2,0,5,0,0,0,8,1,0,2
Super Saudável Shopping,4.11666666666667,4.16666666666667,4,0,0,0,3,0,3,3,0,47,5,0,2,60,10,2,30
Kassio Perfumaria,3.83378378378378,3.97683397683398,3.5,1,0,0,4,0,41,0,25,164,26,1,1,259,30,9,482
Starhouse Megastore,3.76470588235294,3.23529411764706,5,0,0,2,0,0,1,1,0,10,0,0,3,17,8,0,12
Nutramed,3.60897435897436,3.01282051282051,5,0,2,0,0,0,10,0,8,35,17,0,6,78,5,0,14
Principia,3.59228912601626,3.08943089430894,4.765625,0,0,0,0,0,9,0,0,67,0,1,46,123,64,3,24
Viking Brand,3.5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Supérbia,3.5,5,0,0,0,0,2,0,0,0,0,3,0,0,0,3,1,1,0
Aaz Perfumes,3.46545454545455,3.1,4.31818181818182,3,2,0,0,0,11,0,3,139,86,4,2,250,22,3,883
Aroom Aromaterapia,3.41463414634146,4.8780487804878,0,0,0,0,0,0,12,0,1,28,0,0,0,41,1,1,3
Sanavita,3.22549019607843,4.6078431372549,0,0,0,0,3,0,2,0,1,45,3,0,0,51,0,0,24
Reabilit Mais,2.9,2,5,0,0,0,0,0,1,0,1,1,2,0,0,5,4,0,7
Clinica A Sua Essencia,2.9,2,5,0,0,0,0,0,0,0,0,4,6,0,0,10,2,0,3
Herbia,1.16666666666667,1.66666666666667,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,2
Total Marketplace,4.1675489823262,,,6,17,12,43,2,714,30,80,3172,477,48,226,4784,763,65,
